NOM;SOUS_TYPE;CODE_INSEE;geometry
PARKING DU PARC DES SPORTS;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.15085603, 43.67126082]}
PARKING LE CROS;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.17011473, 43.6597737]}
PARKING SAINTE LUCE;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.14943277, 43.66515095]}
PARKING RENOIR;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.15042721, 43.66541998]}
PARKING DES BUGADIERES;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.15217569, 43.6658922]}
PARC AUTO TURIN;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.28482073, 43.72701553]}
PARKING DE LA GARE;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.14905239, 43.65864118]}
PARKING DE L'HIPPODROME;PARKING AUTO;06027;{"type": "Point", "coordinates": [7.14008751, 43.64766518]}
PARKING AUTO;PARKING AUTO;06159;{"type": "Point", "coordinates": [7.30946102, 43.70376755]}
PARKING DE L'ESPLANADE DU LEVANT;PARKING AUTO;06123;{"type": "Point", "coordinates": [7.19265928, 43.67432212]}
PARKING  AUTO;PARKING AUTO;06006;{"type": "Point", "coordinates": [7.24424506, 43.78450482]}
PARKING AUTO;PARKING AUTO;06032;{"type": "Point", "coordinates": [7.4108043, 43.72296189]}
PARKING AUTO;PARKING AUTO;06032;{"type": "Point", "coordinates": [7.39598827, 43.72320444]}
PARKING AUTO;PARKING AUTO;06065;{"type": "Point", "coordinates": [7.1502584, 43.72342178]}
PARKING DU VILLAGE DE LA ROQUETTE SUR VAR;PARKING AUTO;06109;{"type": "Point", "coordinates": [7.19724868, 43.82752724]}
PARKING DE LANTOSQUE;PARKING AUTO;06074;{"type": "Point", "coordinates": [7.31093841, 43.97464812]}
PARKING DE LA GARE SNCF;PARKING AUTO;06032;{"type": "Point", "coordinates": [7.39442385, 43.72070603]}
PARKING AUTO;PARKING AUTO;06032;{"type": "Point", "coordinates": [7.39655934, 43.72618793]}
PARKING DE L'EGLISE;PARKING AUTO;06032;{"type": "Point", "coordinates": [7.40427174, 43.72168216]}
PARKING AUTO DE LA PLACE DE LA  LIBERTE;PARKING AUTO;06032;{"type": "Point", "coordinates": [7.41123194, 43.72711577]}
PARKING AUTO;PARKING AUTO;06034;{"type": "Point", "coordinates": [7.23183295, 43.79136675]}
PARKING AUTO;PARKING AUTO;06073;{"type": "Point", "coordinates": [7.05223155, 44.18641638]}
PARKING AUTO;PARKING AUTO;06073;{"type": "Point", "coordinates": [7.15669879, 44.18668808]}
PARKING AUTO;PARKING AUTO;06013;{"type": "Point", "coordinates": [7.31975934, 44.01545958]}
PARKING AUTO;PARKING AUTO;06153;{"type": "Point", "coordinates": [7.22121878, 44.07121953]}
PARKING AUTO;PARKING AUTO;06102;{"type": "Point", "coordinates": [7.13162042, 44.06401385]}
PARKING AUTO;PARKING AUTO;06129;{"type": "Point", "coordinates": [7.10549809, 44.08336717]}
PARKING AUTO;PARKING AUTO;06129;{"type": "Point", "coordinates": [7.10442667, 44.08417164]}
PARKING DE L'EGLISE;PARKING AUTO;06074;{"type": "Point", "coordinates": [7.31333826, 43.97320334]}
PARKING DE LA GARE DE  LA TRINITE;PARKING AUTO;06149;{"type": "Point", "coordinates": [7.31158331, 43.74250649]}
PARKING AUTO;PARKING AUTO;06046;{"type": "Point", "coordinates": [7.22096256, 43.7623093]}
PARKING AUTO;PARKING AUTO;06055;{"type": "Point", "coordinates": [7.25760814, 43.89503444]}
PARKING AUTO DE LA MAIRIE DE BEAULIEU SUR MER;PARKING AUTO;06011;{"type": "Point", "coordinates": [7.33561439, 43.70628393]}
PARKING DU BOULODROME;PARKING AUTO;06011;{"type": "Point", "coordinates": [7.3369728, 43.7109932]}
PARKING AUTO;PARKING AUTO;06055;{"type": "Point", "coordinates": [7.25832601, 43.89451796]}
PARKING AUTO DE LA MAIRIE;PARKING AUTO;06059;{"type": "Point", "coordinates": [7.36133508, 43.7293118]}
PARKING AUTO;PARKING AUTO;06059;{"type": "Point", "coordinates": [7.36120913, 43.72961795]}
PARKING AUTO;PARKING AUTO;06059;{"type": "Point", "coordinates": [7.36229097, 43.72906033]}
PARKING PLACE DE L'EGLISE;PARKING AUTO;06060;{"type": "Point", "coordinates": [7.27856266, 43.74904387]}
PARKING DERRIERE VILLE;PARKING AUTO;06060;{"type": "Point", "coordinates": [7.27980103, 43.7496055]}
PARKING AUTO;PARKING AUTO;06060;{"type": "Point", "coordinates": [7.27891156, 43.74977234]}
PARKING AUTO;PARKING AUTO;06060;{"type": "Point", "coordinates": [7.27977022, 43.74893068]}
PARKING AUTO;PARKING AUTO;06075;{"type": "Point", "coordinates": [7.22652953, 43.85982953]}
PARKING AUTO;PARKING AUTO;06075;{"type": "Point", "coordinates": [7.22644087, 43.86063694]}
