FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65ed,01-03-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65ee,01-03-2019 00:00:00,7,Médiocre,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,5,7,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65ef,01-03-2019 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,5,0,5,6,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f0,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f1,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f2,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f3,01-03-2019 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,1,0,4,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f4,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,4,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f5,01-04-2018 00:00:00,6,Médiocre,AtmoSud,commune,06088,Nice,6,0,4,2,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f6,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f7,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f8,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,2,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e76ed4553_65f9,01-04-2018 00:00:00,4,Bon,AtmoSud,commune,84007,Avignon,2,0,4,2,0,#8DA71E
