FID,code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg
emi_sudpaca_departement_2014.04.6.2014,04,ALPES-DE-HAUTE-PROVENCE,6,2014,2937736.782,222889.44,957121.531,678021.089,6905780.495,41715.424,24101842.314,1359465.491,10.531,1.393,12.045,241.455,17.327
emi_sudpaca_departement_2014.05.6.2014,05,HAUTES-ALPES,6,2014,2570593.046,252422.842,847205.19,668497.122,7080486.355,30082.592,9175853.999,1328945.901,10.549,1.417,12.075,220.261,18.041
emi_sudpaca_departement_2014.06.6.2014,06,ALPES-MARITIMES,6,2014,10065824.14,513581.073,2129398.108,1536006.637,18002933.623,91252.577,21543506.622,423439.836,37.433,12.01,88.63,996.592,34.511
emi_sudpaca_departement_2014.13.6.2014,13,BOUCHES-DU-RHONE,6,2014,38605635.978,24148567.645,7343606.712,5213258.134,150546329.956,371855.263,35777840.961,2327904.114,255.418,506.302,11649.385,11346.358,72.705
emi_sudpaca_departement_2014.83.6.2014,83,VAR,6,2014,11879118.846,665871.733,3016228.777,2173367.843,23744371.222,86883.201,50442177.298,1010204.842,41.929,5.633,47.209,1188.909,51.63
emi_sudpaca_departement_2014.84.6.2014,84,VAUCLUSE,6,2014,7840055.369,559073.944,2060649.057,1524106.642,15348105.388,68963.278,21423219.061,2010392.561,27.734,4.197,61.416,637.803,31.519
