FID,code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg
emi_sudpaca_departement_2015.04.6.2015,04,ALPES-DE-HAUTE-PROVENCE,6,2015,2922757.293,216734.315,954040.465,681669.93,6905282.088,41765.628,23992277.612,1517298.781,10.775,1.428,66.153,245.289,17.444
emi_sudpaca_departement_2015.05.6.2015,05,HAUTES-ALPES,6,2015,2484095.539,247370.745,836100.638,660548.424,6941085.371,29885.219,9095113.995,1365409.066,10.615,1.408,12.068,219.559,18.077
emi_sudpaca_departement_2015.06.6.2015,06,ALPES-MARITIMES,6,2015,9838816.18,508996.028,2286078.992,1667517.351,18391746.072,85274.527,21052199.487,416532.619,36.368,13.61,71.335,1018.019,34.805
emi_sudpaca_departement_2015.13.6.2015,13,BOUCHES-DU-RHONE,6,2015,36886374.327,23138381.417,7166793.22,5070390.291,99434237.325,478264.059,38522806.848,2559488.313,179.59,492.834,6146.984,7750.492,73.569
emi_sudpaca_departement_2015.83.6.2015,83,VAR,6,2015,11532161.186,650850.967,3038287.231,2179230.302,23287254.455,85883.35,50071172.541,1168019.81,41.444,4.578,44.961,1203.982,52.132
emi_sudpaca_departement_2015.84.6.2015,84,VAUCLUSE,6,2015,7833701.903,640370.581,1957747.11,1447878.804,15155054.199,68314.626,21165487.84,2119331.479,26.28,3.05,88.342,636.413,31.733
