FID,code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg
emi_sudpaca_departement_2007.04.6.2007,04,ALPES-DE-HAUTE-PROVENCE,6,2007,4100558.971,758135.637,1201444.148,888650.271,10681928.414,59865.42,25097854.789,1587035.545,12.595,2.521,423.664,240.165,16.45
emi_sudpaca_departement_2007.05.6.2007,05,HAUTES-ALPES,6,2007,3456295.988,489399.405,859633.582,671751.919,9114728.9,37697.596,9885132.055,1437705.073,8.904,1.214,10.08,193.3,15.574
emi_sudpaca_departement_2007.06.6.2007,06,ALPES-MARITIMES,6,2007,15399774.418,1157067.689,2791609.146,2047643.614,36088462.396,172139.764,26548156.118,597047.756,56.246,39.213,234.158,1169.223,39.639
emi_sudpaca_departement_2007.13.6.2007,13,BOUCHES-DU-RHONE,6,2007,56394998.117,64654879.856,11783140.045,8536498.446,191930346.402,604501.884,50931175.357,2745803.646,422.077,521.856,26220.144,10790.947,85.748
emi_sudpaca_departement_2007.83.6.2007,83,VAR,6,2007,16580678.432,1466875.547,4398957.674,3479976.155,47966884.282,169511.734,55740937.045,1354584.934,42.963,10.293,54.723,1163.368,58.112
emi_sudpaca_departement_2007.84.6.2007,84,VAUCLUSE,6,2007,10930201.922,1230932.393,2403556.497,1850362.348,24791352.213,108751.409,24189691.824,2366163.262,28.189,8.745,273.57,632.928,34.799
