FID,code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg
emi_sudpaca_departement_2012.04.6.2012,04,ALPES-DE-HAUTE-PROVENCE,6,2012,3232751.563,247842.408,1094282.329,801107.021,8280972.356,48802.777,24031840.832,1296263.631,10.685,1.46,12.295,250.998,18.166
emi_sudpaca_departement_2012.05.6.2012,05,HAUTES-ALPES,6,2012,2734212.051,271477.568,861245.9,685030.786,7515958.597,31061.834,9253851.439,1308830.443,10.011,1.377,11.621,206.267,17.707
emi_sudpaca_departement_2012.06.6.2012,06,ALPES-MARITIMES,6,2012,11070597.138,565170.874,2330287.098,1698095.241,21628520.983,103398.039,21848479.816,499423.063,42.161,15.524,78.818,1024.599,36.903
emi_sudpaca_departement_2012.13.6.2012,13,BOUCHES-DU-RHONE,6,2012,40861795.626,31287490.429,8092250.54,5955324.394,146570220.091,431897.059,37695235.877,2520147.232,215.056,237.236,13550.092,8319.018,78.491
emi_sudpaca_departement_2012.83.6.2012,83,VAR,6,2012,12730366.417,744014.402,3237638.771,2370765.344,27808678.731,104558.315,50930689.42,859727.945,41.588,5.351,46.068,1170.891,56.435
emi_sudpaca_departement_2012.84.6.2012,84,VAUCLUSE,6,2012,8544749.616,601231.771,2102971.636,1578143.197,17527525.305,72596.65,21559671.757,1695932.783,27.954,4.54,159.212,638.219,34.001
