FID,code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg
emi_sudpaca_departement_2010.04.6.2010,04,ALPES-DE-HAUTE-PROVENCE,6,2010,3665034.965,318763.86,1054164.947,749970.787,8535298.499,63026.342,24351458.504,1462467.002,10.713,1.671,12.165,245.818,18.169
emi_sudpaca_departement_2010.05.6.2010,05,HAUTES-ALPES,6,2010,3078105.915,399695.196,878639.466,699009.794,8268235.846,34828.295,9483062.766,1408714.943,9.793,1.386,11.512,202.261,17.269
emi_sudpaca_departement_2010.06.6.2010,06,ALPES-MARITIMES,6,2010,12374536.8,812237.826,2470863.981,1817639.533,27192886.757,129134.216,23401148.701,492614.397,90.518,31.371,142.419,1017.184,40.278
emi_sudpaca_departement_2010.13.6.2010,13,BOUCHES-DU-RHONE,6,2010,46353327.702,43842420.078,10639173.57,7897109.431,177928451.14,525474.472,42697804.892,2760926.573,472.603,622.767,21777.366,16809.406,86.868
emi_sudpaca_departement_2010.83.6.2010,83,VAR,6,2010,14204734.825,1120218.499,3600705.879,2673894.866,35008037.111,135451.2,52829884.159,1135724.305,44.737,6.578,48.179,1181.605,60.999
emi_sudpaca_departement_2010.84.6.2010,84,VAUCLUSE,6,2010,9612010.689,881033.204,2288144.694,1748302.655,20836481.841,87860.671,22436582.177,2006791.131,29.165,6.926,189.618,643.245,36.334
