FID,code_dep,lib_dep,version,annee_inv,nox_kg,so2_kg,pm10_kg,pm25_kg,co_kg,c6h6_kg,covnm_kg,nh3_kg,as_kg,cd_kg,ni_kg,pb_kg,bap_kg
emi_sudpaca_departement_2016.04.6.2016,04,ALPES-DE-HAUTE-PROVENCE,6,2016,2807403.906,225577.997,1002817.13,732423.985,7556569.616,43575.086,24059012.911,1451905.268,11.522,1.542,14.147,256.721,18.474
emi_sudpaca_departement_2016.05.6.2016,05,HAUTES-ALPES,6,2016,2396648.221,249070.991,861581.808,682118.937,7303191.565,31535.318,9156989.6,1340622.642,11.257,1.52,12.963,227.487,19.254
emi_sudpaca_departement_2016.06.6.2016,06,ALPES-MARITIMES,6,2016,9346756.442,589884.067,2164879.028,1605793.489,18220556.608,85484.089,21047945.634,401098.233,36.79,16.101,81.053,1158.541,36.416
emi_sudpaca_departement_2016.13.6.2016,13,BOUCHES-DU-RHONE,6,2016,37261041.913,19498394.316,8587152.826,6556129.888,150633822.559,402680.254,36411910.886,2622126.798,202.244,1010.298,6688.452,7472.684,76.925
emi_sudpaca_departement_2016.83.6.2016,83,VAR,6,2016,11340042.848,705939.247,3222760.611,2370886.108,25320464.16,88207.438,50308948.715,1116154.87,43.667,4.969,51.17,1242.031,55.011
emi_sudpaca_departement_2016.84.6.2016,84,VAUCLUSE,6,2016,7533185.708,667461.903,1971381.707,1460545.226,15493780.52,72244.34,21258563.842,2094914.991,28.274,6.011,97.592,663.039,33.481
