stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STOPPOINT:03235,,"La Source - CANNES","",43.547327,7.047789,,,0,,,
STOPPOINT:03236,,"Gazagnaire - CANNES","",0.0,0.0,,,0,STOPAREA:00764,,
STOPPOINT:03238,,"Pont des Gabres - CANNES","",43.550559,7.030539,,,0,STOPAREA:03993,,
STOPPOINT:03239,,"Parking Bergerie - GOURDON","",43.721161,6.976941,,,0,STOPAREA:02237,,
STOPPOINT:03240,,"Parking Bergerie - GOURDON","",43.721328,6.976899,,,0,STOPAREA:02237,,
STOPPOINT:03244,,"Vauban G.R. - NICE","",43.708751,7.285881,,,0,STOPAREA:00814,,
STOPPOINT:03245,,"Gambetta - GRASSE","",43.660301,6.925452,,,0,,,
STOPPOINT:03246,,"Gambetta - R - GRASSE","",43.660462,6.925427,,,0,,,
STOPPOINT:03247,,"La Roque - GRASSE","",43.659592,6.925926,,,0,,,
STOPPOINT:03248,,"La Roque - R - GRASSE","",43.65953,6.92595,,,0,,,
STOPPOINT:03249,,"Les Pervenches - CANNES","",43.546391,7.043515,,,0,,,
STOPPOINT:03252,,"Schaumann (J. Ferry) - CANNES","",43.556654,7.01705,,,0,,,
STOPPOINT:03253,,"Schaumann (J. Ferry) - CANNES","",43.55664,7.01684,,,0,,,
STOPPOINT:03256,,"Frayère - R - CANNES","",43.559494,6.968104,,,0,STOPAREA:01880,,
STOPPOINT:03257,,"Dugommier - ANTIBES","",43.581021,7.119702,,,0,STOPAREA:00761,,
STOPPOINT:03264,,"Stade De La Paoûte - GRASSE","",43.632917,6.954153,,,0,,,
STOPPOINT:03266,,"France Outre Mer - S.LAURENT-D-VAR","",43.659163,7.191265,,,0,,,
STOPPOINT:03267,,"RN98 - S.LAURENT-D-VAR","",43.658087,7.185029,,,0,,,
STOPPOINT:03268,,"Surcouf - S.LAURENT-D-VAR","",43.657039,7.180448,,,0,STOPAREA:00756,,
STOPPOINT:03271,,"Mairie Annexe - VILLENEUVE-LBT","",43.642049,7.133537,,,0,,,
STOPPOINT:03272,,"Les Maurettes - VILLENEUVE-LBT","",43.630589,7.13025,,,0,STOPAREA:02106,,
STOPPOINT:03276,,"Les Drapeaux - VILLENEUVE-LBT","",43.64206,7.143141,,,0,,,
STOPPOINT:03279,,"Jean Moulin - A - CANNES","",43.565849,6.965088,,,0,,,
STOPPOINT:03280,,"Les Pins Bleus - A - CANNES","",43.571078,6.955268,,,0,,,
STOPPOINT:03281,,"Tiercé - CAGNES-SUR-MER","",43.651136,7.152073,,,0,STOPAREA:00758,,
STOPPOINT:03282,,"Les Pins Bleus - R - CANNES","",43.571336,6.95488,,,0,,,
STOPPOINT:03283,,"Verdun - S.LAURENT-D-VAR","",43.658743,7.191368,,,0,STOPAREA:00756,,
STOPPOINT:03284,,"Trotteur Plage - S.LAURENT-D-VAR","",43.65765,7.184806,,,0,STOPAREA:00756,,
STOPPOINT:03285,,"Maona Plage - S.LAURENT-D-VAR","",43.656535,7.179515,,,0,STOPAREA:00756,,
STOPPOINT:03287,,"Base De Loisirs - A - ROQUETTE/SIAGNE","",43.585027,6.941735,,,0,,,
STOPPOINT:03288,,"Base De Loisirs - R - ROQUETTE/SIAGNE","",43.584702,6.941624,,,0,,,
STOPPOINT:03291,,"Stade Perdigon - A - GRASSE","",43.636448,6.933449,,,0,,,
STOPPOINT:03292,,"Stade Perdigon - R - GRASSE","",43.636264,6.933107,,,0,,,
STOPPOINT:03295,,"RD PT De L'Alambic - A - GRASSE","",43.641558,6.937316,,,0,,,
STOPPOINT:03307,,"Médiathèque -A - CANNES","",0.0,0.0,,,0,,,
STOPPOINT:03308,,"Médiathèque -R - CANNES","",43.550765,7.002462,,,0,,,
STOPPOINT:03315,,"Saint Pierre - R - CANNES","",43.567151,6.966772,,,0,,,
STOPPOINT:03316,,"Alfred de Musset - A - CANNES","",43.569338,6.966183,,,0,,,
STOPPOINT:03317,,"Ranguin College Gerard Philippe - CANNES","",43.569816,6.965683,,,0,,,
STOPPOINT:03348,,"Les Plages - ROQUEBRUNE - CA","",43.759391,7.482839,,,0,,,
STOPPOINT:03359,,"Pont De L'Union - MENTON","",43.765879,7.486247,,,0,STOPAREA:03608,,
STOPPOINT:03360,,"Le Logis (610) - R - PEGOMAS","",43.592287,6.930813,,,0,,,
STOPPOINT:03361,,"Piéranchon - A - PEGOMAS","",43.60445,6.918034,,,0,,,
STOPPOINT:03362,,"Madone Parc - MENTON","",43.767724,7.489882,,,0,,,
STOPPOINT:03363,,"Madone Parc - MENTON","",43.769218,7.491614,,,0,STOPAREA:03608,,
