trip_id,contract_company_id,exec_company_id
LR100A1|20181015|10,77,77
LR100A1|20181015|100,77,77
LR100A1|20181015|102,77,77
LR100A1|20181015|103,77,77
LR100A1|20181015|105,77,77
LR100A1|20181015|106,77,77
LR100A1|20181015|108,77,77
LR100A1|20181015|109,77,77
LR100A1|20181015|110,77,77
LR100A1|20181015|111,77,77
LR100A1|20181015|112,77,77
LR100A1|20181015|113,77,77
LR100A1|20181015|114,77,77
LR100A1|20181015|115,77,77
LR100A1|20181015|116,77,77
LR100A1|20181015|117,77,77
LR100A1|20181015|118,77,77
LR100A1|20181015|119,77,77
LR100A1|20181015|12,77,77
LR100A1|20181015|120,77,77
LR100A1|20181015|121,77,77
LR100A1|20181015|122,77,77
LR100A1|20181015|123,77,77
LR100A1|20181015|124,77,77
LR100A1|20181015|125,77,77
LR100A1|20181015|126,77,77
LR100A1|20181015|127,77,77
LR100A1|20181015|128,77,77
LR100A1|20181015|129,77,77
LR100A1|20181015|13,77,77
LR100A1|20181015|130,77,77
LR100A1|20181015|131,77,77
LR100A1|20181015|132,77,77
LR100A1|20181015|133,77,77
LR100A1|20181015|134,77,77
LR100A1|20181015|135,77,77
LR100A1|20181015|136,77,77
LR100A1|20181015|137,77,77
LR100A1|20181015|138,77,77
LR100A1|20181015|139,77,77
LR100A1|20181015|140,77,77
LR100A1|20181015|141,77,77
LR100A1|20181015|142,77,77
LR100A1|20181015|143,77,77
LR100A1|20181015|144,77,77
LR100A1|20181015|145,77,77
LR100A1|20181015|146,77,77
LR100A1|20181015|147,77,77
LR100A1|20181015|148,77,77
LR100A1|20181015|149,77,77
LR100A1|20181015|15,77,77
LR100A1|20181015|150,77,77
LR100A1|20181015|151,77,77
LR100A1|20181015|152,77,77
LR100A1|20181015|153,77,77
LR100A1|20181015|154,77,77
LR100A1|20181015|155,77,77
LR100A1|20181015|156,77,77
LR100A1|20181015|157,77,77
LR100A1|20181015|158,77,77
LR100A1|20181015|159,77,77
LR100A1|20181015|16,77,77
LR100A1|20181015|160,77,77
LR100A1|20181015|161,77,77
LR100A1|20181015|162,77,77
LR100A1|20181015|163,77,77
LR100A1|20181015|164,77,77
LR100A1|20181015|165,77,77
LR100A1|20181015|166,77,77
LR100A1|20181015|167,77,77
LR100A1|20181015|168,77,77
LR100A1|20181015|169,77,77
LR100A1|20181015|17,77,77
LR100A1|20181015|170,77,77
LR100A1|20181015|171,77,77
LR100A1|20181015|172,77,77
LR100A1|20181015|173,77,77
LR100A1|20181015|174,77,77
LR100A1|20181015|175,77,77
LR100A1|20181015|176,77,77
LR100A1|20181015|177,77,77
LR100A1|20181015|178,77,77
LR100A1|20181015|179,77,77
LR100A1|20181015|180,77,77
LR100A1|20181015|181,77,77
LR100A1|20181015|182,77,77
LR100A1|20181015|183,77,77
LR100A1|20181015|184,77,77
LR100A1|20181015|185,77,77
LR100A1|20181015|186,77,77
LR100A1|20181015|187,77,77
LR100A1|20181015|188,77,77
LR100A1|20181015|189,77,77
LR100A1|20181015|19,77,77
LR100A1|20181015|190,77,77
LR100A1|20181015|191,77,77
LR100A1|20181015|192,77,77
LR100A1|20181015|193,77,77
LR100A1|20181015|194,77,77
LR100A1|20181015|195,77,77
LR100A1|20181015|196,77,77
LR100A1|20181015|197,77,77
LR100A1|20181015|198,77,77
LR100A1|20181015|2,77,77
LR100A1|20181015|20,77,77
LR100A1|20181015|21,77,77
LR100A1|20181015|22,77,77
LR100A1|20181015|23,77,77
LR100A1|20181015|24,77,77
LR100A1|20181015|25,77,77
LR100A1|20181015|26,77,77
LR100A1|20181015|27,77,77
LR100A1|20181015|28,77,77
LR100A1|20181015|29,77,77
LR100A1|20181015|3,77,77
LR100A1|20181015|31,77,77
LR100A1|20181015|32,77,77
LR100A1|20181015|33,77,77
LR100A1|20181015|34,77,77
LR100A1|20181015|35,77,77
LR100A1|20181015|36,77,77
LR100A1|20181015|37,77,77
LR100A1|20181015|38,77,77
LR100A1|20181015|39,77,77
LR100A1|20181015|4,77,77
LR100A1|20181015|40,77,77
LR100A1|20181015|41,77,77
LR100A1|20181015|42,77,77
LR100A1|20181015|43,77,77
LR100A1|20181015|44,77,77
LR100A1|20181015|5,77,77
LR100A1|20181015|58,77,77
LR100A1|20181015|6,77,77
LR100A1|20181015|60,77,77
LR100A1|20181015|61,77,77
LR100A1|20181015|62,77,77
LR100A1|20181015|63,77,77
LR100A1|20181015|64,77,77
LR100A1|20181015|66,77,77
LR100A1|20181015|67,77,77
LR100A1|20181015|69,77,77
LR100A1|20181015|7,77,77
LR100A1|20181015|70,77,77
LR100A1|20181015|71,77,77
LR100A1|20181015|72,77,77
LR100A1|20181015|73,77,77
LR100A1|20181015|75,77,77
LR100A1|20181015|76,77,77
LR100A1|20181015|77,77,77
LR100A1|20181015|78,77,77
LR100A1|20181015|79,77,77
LR100A1|20181015|8,77,77
LR100A1|20181015|80,77,77
LR100A1|20181015|9,77,77
LR100A1|20181015|91,77,77
LR100A1|20181015|92,77,77
LR100A1|20181015|93,77,77
LR100NA1|20181016|1,77,77
LR100NA1|20181016|2,77,77
LR100NA1|20181016|3,77,77
LR100NA1|20181016|4,77,77
LR100NR1|20181016|1,77,77
LR100NR1|20181016|2,77,77
LR100NR1|20181016|3,77,77
LR100NR1|20181016|4,77,77
LR100R|20181215|1,77,77
LR100R|20181215|10,77,77
LR100R|20181215|100,77,77
LR100R|20181215|101,77,77
LR100R|20181215|102,77,77
LR100R|20181215|103,77,77
LR100R|20181215|104,77,77
LR100R|20181215|105,77,77
LR100R|20181215|106,77,77
LR100R|20181215|107,77,77
LR100R|20181215|108,77,77
LR100R|20181215|109,77,77
LR100R|20181215|11,77,77
LR100R|20181215|110,77,77
LR100R|20181215|111,77,77
LR100R|20181215|112,77,77
LR100R|20181215|113,77,77
LR100R|20181215|114,77,77
LR100R|20181215|115,77,77
LR100R|20181215|116,77,77
LR100R|20181215|117,77,77
LR100R|20181215|118,77,77
LR100R|20181215|119,77,77
LR100R|20181215|12,77,77
LR100R|20181215|120,77,77
LR100R|20181215|121,77,77
LR100R|20181215|122,77,77
LR100R|20181215|123,77,77
LR100R|20181215|124,77,77
LR100R|20181215|125,77,77
LR100R|20181215|127,77,77
LR100R|20181215|128,77,77
LR100R|20181215|129,77,77
LR100R|20181215|13,77,77
LR100R|20181215|130,77,77
LR100R|20181215|131,77,77
LR100R|20181215|132,77,77
LR100R|20181215|133,77,77
LR100R|20181215|134,77,77
LR100R|20181215|135,77,77
LR100R|20181215|136,77,77
LR100R|20181215|137,77,77
LR100R|20181215|138,77,77
LR100R|20181215|139,77,77
LR100R|20181215|14,77,77
LR100R|20181215|140,77,77
LR100R|20181215|15,77,77
LR100R|20181215|16,77,77
LR100R|20181215|18,77,77
LR100R|20181215|2,77,77
LR100R|20181215|20,77,77
LR100R|20181215|21,77,77
LR100R|20181215|22,77,77
LR100R|20181215|23,77,77
LR100R|20181215|24,77,77
LR100R|20181215|25,77,77
LR100R|20181215|26,77,77
LR100R|20181215|27,77,77
LR100R|20181215|28,77,77
LR100R|20181215|29,77,77
LR100R|20181215|3,77,77
LR100R|20181215|30,77,77
LR100R|20181215|31,77,77
LR100R|20181215|32,77,77
LR100R|20181215|33,77,77
LR100R|20181215|34,77,77
LR100R|20181215|35,77,77
LR100R|20181215|36,77,77
LR100R|20181215|37,77,77
LR100R|20181215|38,77,77
LR100R|20181215|39,77,77
